item,quantity,cost per,cost total,vendor,link,
Raspberry Pi 4B 4GB RAM – RPI4-MODBP-4GB,1,55,55,newark,https://www.newark.com/raspberry-pi/rpi4-modbp-4gb/rpi-computer-rpi-4-mod-b-4gb-1/dp/02AH3164?CMP=KNC-GUSA-PMAX-SHOPPING-ONBOARD-COMP-NEW&mckv=_dc|pcrid||plid||kword||match||slid||product|02AH3164|pgrid||ptaid||&gad_source=1&gad_campaignid=22957739450&gclid=CjwKCAjw89jGBhB0EiwA2o1On1TsaytawjCEHuQFowv_PccZnhWHWEsRmoAM08NjT4ozjejQgZqCcxoCa9IQAvD_BwE,
Aluminum Metal Heatsink Raspberry Pi 4 Case with Dual Fans,,24.95,24.95,adafruit,https://www.adafruit.com/product/4340?srsltid=AfmBOoozzKsdH-1z5ByE492Hdfhsjqk6QDAVZoBVZiUk3mC4-JNgnmUMU3I,
USB Accelerator,1,59.99,59.99,coral.ai,https://coral.ai/products/accelerator/,
JIANFA Car Push Button Switch DIY Switch Off/ON Universal DC12V Switch for Fog Driving Lights neon Lights LED Light bar etc.,1,$7.99,7.99,amazon,https://www.amazon.com/button-switch-universal-driving-lights/dp/B07G17HWW8/,
"VASGOR 12” Ground Anchors (4pcs) Easy to Use with Drill, 10mm Diameter, Heavy Duty Anchor Hook for Camping Tent, Canopies, Car Ports, Sheds, Swing Sets, Securing Animals – Black Powder Coated",1,19.98,19.98,amazon,https://www.amazon.com/VASGOR-Anchors-Diameter-Canopies-Securing/dp/B0B528ZKSV/ref=sr_1_15?crid=3BUUS3Y9G2WRA&dib=eyJ2IjoiMSJ9.7HR5zIFm-xmWFDZLqAnoyEtYBQmrLtTrCR68ndTVDUfcwurYtZtc1hgznrExg_nH7lZiJDmHOKSSeQzZ5FsHF_RcW_I2cMklYnBkO94k7wzO_MBxNZ6SOAvu6ALRB9L4WxAaLFwI4F3ciGdQgOESNwrsZDzMWiFQyH5UoaP-RiO7nOxjdL-zZXpe6NWgmMvXC766DuHvp_lvxcm3jeUVCc9BRpUIgTHy2MO6D_Qd07t6p9qCzOnf9f3e6ZnLkBQ6qoNcLPjcwRF1kZpHMb4YCSRnjNfEzuD-2t4LC1R53nVAMIOfKfElLGvOqGdsY3g_OtEVRhTKiIvj-PZ2UVPcrNbA7ZJK-D1SH4ozrVdGgxNeji-UTvGd65Mpr94FOnc5mZGCFZov5hk2pRwDzaFmGmsBjDsgBPjDSq5zL7T4ylwUOJLNTuGGTgxXxBwyoQEJ.Q502LddPJg4r9pvOBwL5iHCy0xROYshW6dJIBipIXsk&dib_tag=se&keywords=ground%2Banchors%2B12%22%2Bhook&qid=1742424131&sprefix=ground%2Banchors%2B12%2Bhook%2Caps%2C157&sr=8-15&th=1,
" VIVO Gray 250ft Bulk Cat6, CCA Ethernet Cable, 23 AWG, UTP Pull Box, Cat-6 Wire, Indoor, Network Installations CABLE-V015 ",~6ft,0.16 (per foot),1.92,amazon,https://www.amazon.com/VIVO-Ethernet-Cable-250ft-CABLE-V015/dp/B01FIMM8WW/ref=sr_1_4?crid=QBRAK1HZ5TYQ&dib=eyJ2IjoiMSJ9.qnCT_YM6-Sgr59jzRbuYkFBvBOVKYTA4ExyKHWJKLbTwN6e9R62r54CBne79Jlt0kNW6iLjJWNV9TJYITWduUHVZMnDJGNRg11O-xahGKbOkFR-wWyCRQm5GUlWwQl0kTkZcs5mH-gSMsnnY3SItTZl88sgKUgZKl98jea-jRVhYBb4bq-uf6ukeWkLC2Q019lf3lleQF_YpmbqWZXB0PAAzhRTzRIm503LdK3I_ZDVieV2HGMhlL4QEpLWYGAN4m_OLUEqXo9eYMQcaxudzQv6uXUsKnEbdfrWuSsUnw6Q.jbb2jUWjuH4rouwoyWgZBGyhWKcln8LKmq6kvKCTSwA&dib_tag=se&keywords=ethernet%2Bcable%2Bspool&qid=1758842232&s=industrial&sprefix=ethernet%2Bcable%2Bspool%2Cindustrial%2C148&sr=1-4&th=1,
iGreely Flexible 10 Gauge Wire 30 Feet Stranded Oxygen Free Copper Electrical Wire for Solar Panel Automotive Car Marine Boat Speaker LED Light Wiring 10 AWG,"~12ft red, ~12ft black ",1.2 (per foot black + red),14.4,amazon,https://www.amazon.com/dp/B0BYNZSBKW/ref=sspa_dk_detail_6?pd_rd_i=B0BYNZSBKW&pd_rd_w=t0btv&content-id=amzn1.sym.f734d1a2-0bf9-4a26-ad34-2e1b969a5a75&pf_rd_p=f734d1a2-0bf9-4a26-ad34-2e1b969a5a75&pf_rd_r=2TCQT7CZHTTBYK1KYDC7&pd_rd_wg=vCuFz&pd_rd_r=15290b57-39f5-4ccd-8549-83133a8b5c4d&s=industrial&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw&th=1,
"AMPELE Cable Gland 100 Pack PG7 Waterproof Plastic Adjustable 3.5-6mm Cable Glands Joints With Gaskets, Black(PG7) ",5,0.23 (per gland),1.15,amazon,https://www.amazon.com/AMPELE-Waterproof-Plastic-Adjustable-3-5-6mm/dp/B09X4GK3FT/ref=sr_1_1_sspa?keywords=pg7+cable+glands&qid=1688681689&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,
"3M Dual Lock SJ3550A 1""×8ft Black, Reclosable Fastener Mounting Tape Interlocking Mushroom Shaped Strong Adhesive Hook Lock Sticky Tape Waterproof for Indoor and Outdoor, EZ Pass, Pedalboard, 1 Pack ",6 inch,0.23 (per inch),1.38,amazon,https://www.amazon.com/Reclosable-Fastener-Adhesive-Mounting-Outdoor/dp/B08R3BFZ27/ref=sr_1_2_sspa?crid=O1OAXRO9MACO&dib=eyJ2IjoiMSJ9.EuHPW8E2SYZnbcuRPNDbBEMeY3LvVyen55olEdvomYKCwgpRJZp2wOGybB5YgZLSjtl-I4xZdgyQhsiJE-xxJNaOb-nl6CZiwq2sv1B545iCK1wUNoLUzT7EZqrHZaQmEpslFxK-e42o-LBeexaLJIJWXpyTYjfZudnLvWLBdosLIxyZLxDqXZq8s7oU7HRAP8e_TyIW40m7QRtvSptCl0c7YCOyjYS3ic3dhlXAriw.7OoBdrTTbZDEuFjuPObtZhP1FImigDWZC-qTq-oeE9g&dib_tag=se&keywords=dual%2Block%2Bvelcro&qid=1758841334&sprefix=dual%2Block%2Bvelcr%2Caps%2C180&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,
BougeRV Solar Connectors Y Branch Parallel Adapter Cable Wire Plug Tool Kit for Solar Panel,1,7.99,7.99,amazon,https://www.amazon.com/dp/B0753X68PS/ref=sspa_dk_detail_3?pd_rd_i=B0753X68PS&pd_rd_w=w6QTZ&content-id=amzn1.sym.d81b167d-1f9e-48b6-87d8-8aa5e473ea8c&pf_rd_p=d81b167d-1f9e-48b6-87d8-8aa5e473ea8c&pf_rd_r=K05J432F64QV62G2WQ3H&pd_rd_wg=F5dVU&pd_rd_r=bbf777a5-8858-45b9-8f6a-99a77638065b&s=lawn-garden&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&th=1,
"Ring Terminals - Noninsulated, for 12-10 Wire Gauge and 3/8"" Screw",2,0.25 (per ring),0.5,mcmaster,https://www.mcmaster.com/7113K19/,
BougeRV 12 PCS Solar Connectors with Spanners Solar Panel Cable Connectors 6 Pairs Male/Female(10AWG) ,1 pair,1.66 (per pair),1.66,amazon,https://www.amazon.com/BougeRV-22PCS-Solar-Connectors-Female/dp/B073TX1N5Q/ref=sr_1_2_sspa?crid=5ZMZV0BSVL6P&dib=eyJ2IjoiMSJ9.ZuWvinfdjGidQ9nTnG3cq_UCF_P0Vj8TjI3MdO_zO5Vyt_Udqb93JOcsJbm0ooSrMx8VbsQrWPoLmrQc4aJkEYIv8jyQXJlOyfNviMXWF3uCC6IpsCrOzAuEi28BvjulaBkVXVrlXnAxticmOAhxu9fTjTSV8mnVqxSDaE9O4lT5Yna7029SOgXohNkeU-V0yBsD0rH2pFA2CX4rTU5u8TxP6pG-La5RHNNX9zAvsmwbGBdfHGf2Z-fRt6BDIPTUU53zVXutRhU-FOHlDivQqbStTP_gHyrP75lQZ8UUw3Y.l98wCeaTKSJJWGaYFgEgF-wA6HgcAoEChIM46RMtdFo&dib_tag=se&keywords=solar%2Bpanel%2Bconnectors&qid=1758842545&s=lawn-garden&sprefix=solar%2Bpanel%2Bconnector%2Clawngarden%2C173&sr=1-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,
ITBEBE 100-Pack Cat 6 Pass Through RJ45 Connectors (RJ45 Connector / RJ45 Passthrough Cat6/Ethernet Connector) for Solid/Stranded UTP Ethernet Cable ,10,.2(per connector),2,amazon,https://www.amazon.com/gp/aw/d/B085F31B38/?_encoding=UTF8&pd_rd_plhdr=t&aaxitk=d9cdea892dc8615e35792f02234d15da&hsa_cr_id=2317151670501&qid=1758842643&sr=1-1-9e67e56a-6f64-441f-a281-df67fc737124&ref_=sbx_be_s_sparkle_mcd_asin_0_title&pd_rd_w=X2q4Q&content-id=amzn1.sym.9f2b2b9e-47e9-4764-a4dc-2be2f6fca36d%3Aamzn1.sym.9f2b2b9e-47e9-4764-a4dc-2be2f6fca36d&pf_rd_p=9f2b2b9e-47e9-4764-a4dc-2be2f6fca36d&pf_rd_r=SAS1K3FKAG2DM7HBAE0V&pd_rd_wg=CztSF&pd_rd_r=4017bc3c-bc51-4100-b24c-1274b9192812,
" VEVOR 1/16 Wire Rope, 330 FT 304 Stainless Steel Cable with 80 Sleeves, 20 Thimbles, 450 lbs Breaking Strength, 7x7 Strands Marine Aircraft Grade for Handrail Stair Decking Fence Outdoors ",~39ft,.06 (per foot),2.34,amazon,https://www.amazon.com/VEVOR-Stainless-Thimbles-Breaking-Strength/dp/B0DLP336ZV/ref=sr_1_2_sspa?crid=QX8KFZPY2URZ&dib=eyJ2IjoiMSJ9.7-zPieLQgUDDE1E0n8Ri7qgPuxQKPeRgYRQnt7kSXAMrjqSmvGPNW15My8ZRINdJyeK5-5QbEWxvh70ZJ0GCz1r18TZbFNsWcvLjFm0i8YK_uBfMPgh3JF1ycNJsgFxxh5zOIysKcoVbinwNLEhexz6mzkMaVWLg-ZZD0Aahnd4HbPMMefB2EqwEgr21YKajhXfRl6LCB12MbmA5LxjI6w79iteH7UEeJ9vw1zWuj5Q.exthclaDqxsyjy9gxDjjkJ0ZxfCEcPNUk9mgMzpv5JE&dib_tag=se&keywords=guy%2Bwire%2B1%2F16&qid=1758912190&sprefix=guy%2Bwire%2B1%2F16%2Caps%2C144&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,
"10Pack M6 Turnbuckle Hook and Eye, Stainless Steel Cables Wire Turnbuckles, Heavy Duty Turnbuckle for Wire Rope Tension, Cable Railing Hardware Kit for Sun Shade Sail, Tent Installation",3,1.70 (per turnbuckle),5.1,amazon,https://www.amazon.com/FVIEXE-10PCS-Turnbuckle-Stainless-Tensioner/dp/B094ZRGZ3P/ref=asc_df_B094ZRGZ3P?mcid=8a9556388cda34df9355b29fcf4801f5&hvocijid=12387737504728567484-B094ZRGZ3P-&hvexpln=73&tag=hyprod-20&linkCode=df0&hvadid=721245378154&hvpos=&hvnetw=g&hvrand=12387737504728567484&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9112910&hvtargid=pla-2281435178298&psc=1,
"Zip Ties 8 inch (100 Pack), 40lbs Tensile Strength, Black Cable Ties, Wire Ties for indoor and outdoor use, by Skalon ",~5,0.04 (per ziptie),0.2,amazon,https://www.amazon.com/Tensile-Strength-indoor-outdoor-Skalon/dp/B09PJ8L58G/ref=sr_1_4?crid=1EYX4KMDHGJL2&dib=eyJ2IjoiMSJ9.ZPH2FNYyRHIIiL9r0q8BQjWyAL6hyfS5InMH7x9Qd1BurqIMNo8pEAg7Kxm8HcpXIdQynKGSRTIBBPTYbVYrRpjjhdKHhag6ZN2fCid4Qr-1OWikFZ9Kj8vjFM0yg1l9dkq5DrwyrxbWRvtjxAaKpaazuV6FZKZ1HK7pBaCKRcIuW4VT_pG4kPaBvtKoCq-ywUg70cD8uWyewgBQiaAilPVh1KXRi9S2p4OuADVPoKk.sORTU0OAZ-uLTkKlj1uLDUbFv_bBgfztbZ4LD2q-s9w&dib_tag=se&keywords=zip%2Bties&qid=1758912323&sprefix=zip%2Btie%2Caps%2C195&sr=8-4&th=1,
"DC Power Pigtail Cable,16AWG DC Plug Barrel Connector Male 2.1mm x 5.5mm Male Plug to Bare Wire Open End Power Wire Supply Repair Cord for CCTV Security Camera,12V 24V 36V Adapter 3ft (16AWG) ",1,6.99,6.99,amazon,https://www.amazon.com/Pigtail-Supply-Security-Adapter-Connector/dp/B07VW5VRX7/ref=sr_1_3_sspa?crid=J1GETCJ3Y6U8&dib=eyJ2IjoiMSJ9.Mxe1uk5950aJDmXbxhP-kjdGHdkpT8SyFLI0QShxj9ityrEl0K9w2UAdT-WItp_VZwVF5LI_iHZOY5pbFSBCZI2wfSIs0_F1vS2_8xZWeyznDDG5dfvdBNm0NlERd0E-Q58MhEmn3ct6IrX_yl1p7CFYFmZ5IfmhzW2fHB28R9OslTw23HS2E0L-XG3JX0s9zl-9tdz83yx1rz1YBWW2z7jPeCf2KFTWHtlbdjLeiWv5yAgpkzJkbphEjCHtPnxYu8EuLvsmwabfVtYaX9kzl7pG_mTzxCYtCHtffQzO7KA.pxIKqWJTJF43Qdp7o56Npkz5cTeE9fbHAMi16nwqZXs&dib_tag=se&keywords=2.1%2Bx%2B%3C5.5mm%2Bdc%2Bconnector&qid=1758919891&s=electronics&sprefix=2.1%2Bx%2B5.5mm%2Bdc%2Bconnector%2Celectronics%2C117&sr=1-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,
Poe Texas PoE Injector - Single Port Power Over Ethernet Passive PoE Adapter - 10/100/1000 Gigabit Data Accepts 12v to 56v DC - Plug & Play Home Office VoIP Phone WiFi AP - Power Supply Not Included ,1,7.49,7.49,amazon,https://www.amazon.com/WS-GPOE-1-WM-Gigabit-Passive-Ethernet-Injector/dp/B00ENNUWO4/ref=asc_df_B00ENNUWO4?mcid=c3f6c5c525ce3dcd99cb6173bc51aaa5&hvocijid=963228284077185942-B00ENNUWO4-&hvexpln=73&tag=hyprod-20&linkCode=df0&hvadid=721245378154&hvpos=&hvnetw=g&hvrand=963228284077185942&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9061184&hvtargid=pla-2281435178578&psc=1,
"Foot pads (6x6x.75 inch painted plywood board with 1 inch diameter, .25 inch depth indent in the center) *optional",3,-,-,-,-,
Hikvision DS-2DE3404W-DE 4MP Outdoor PTZ Network Mini Dome Camera,1,409.95,409.95,bhphotovideo,https://www.bhphotovideo.com/c/product/1703201-REG/hikvision_ds_2de3404w_de_4mp_outdoor_ptz_network.html,
"Multipurpose 6061 Aluminum 90 Degree Angle with Round Edge, 1/8"" Thickness, 2.5"" High x 1.5"" Wide Outside",1ft,9.63,9.63,mcmaster,https://www.mcmaster.com/catalog/131/4229/8982K123,
3-Port USB Powered 10/100Mbps Ethernet RJ45 Network Switch Hub - Black (61024) ,1,20.99,20.99,amazon,https://www.amazon.com/XtremPro-Powered-100Mbps-Ethernet-Network/dp/B074VZ236M?th=1,
DC 12v 24v to 5v Step Down Converter Regulator 5A 25W Power Adapter Reducer for Car Electronics Truck Vehicle Boat Solar System (Accept DC 8-40V Inputs) ,1,12.29,12.29,amazon,https://www.amazon.com/Converter-Regulator-Adapter-Reducer-Electronics/dp/B07Q5W1BG3/ref=sr_1_1?crid=3TXFU53M4BDMM&keywords=step%2Bdown%2Bconverter%2B12%2Bto%2B5v%2B8-22%2Bin&qid=1697840756&s=financial&sprefix=step%2Bdown%2Bconverter%2B12%2Bto%2B5v%2B8-22%2Bi%2Cfinancial%2C108&sr=1-1&th=1,
"Right Angle USB C to 2 Pin Bare Wire Open End Wire 1M/3FT, 90 Degree USB Type C Male Plug Pigtail Power Cable 22AWG 5V/3A, for USB C Equipment Installed or Replacement Repair DIY Cable(2Pcs) ",1,4.49 (per cable),4.49,amazon,https://www.amazon.com/Degree-Pigtail-Equipment-Installed-Replacement/dp/B0CCYVFQSX/ref=sr_1_5?crid=3GOWDF90VF3E2&dib=eyJ2IjoiMSJ9.uFDtgVsp07P4pkMruBc5hoEm8iUJUgiQObwHFuYKaQ_Y-F0G9RW8QpuNCZfOnVYa6iKbjWJHBSkg7B8khEmSGwSTBoNYCgmAuDbr7-FuFzDnoI4-SCPgLGccr44mMTPM50h4AxqQS4YLf4ahXJFTjCislixnogVaV7PPooL5usjDrVnxFIIm-vbmvK2QSfeZSS6Z79Gu0hJIt1C_IaTM2QmzoBlUKeFOCc0avkRot4ISMZECmO6cgZV8Yg0aq_ktx4yoDsIVVeCYIc3PIiaGhznZEaYOYaCmMIlM-No5l1A.Z-35T8V1H-GYeh5wgysZP6QfXK6tDbq4bhwsA9qnQNM&dib_tag=se&keywords=wire%2Bto%2Busbc&qid=1758922586&s=electronics&sprefix=wire%2Bto%2Busb%2Celectronics%2C132&sr=1-5&th=1,
,,total,1616.24,,,
